English Terms,Spanish Terms,Dictionaries Used,Synonyms Used,Failed Words
diameter,diámetro ,Github,,
dish,vajilla ,Github,,
"cm, diameter, dish","cm, diámetro , vajilla ","Chemical Element, Github, Github",,
tran,tran,None,,tran
"Ca, phosphate, coprecipitation","Ca, fosfato , coprecipitation","None, Github, None",,"Ca, coprecipitation"
base,base,Github,,
human,humano ,Github,,
"acid, proton","ácido, protón","Github, Github",,
proton,protón,Github,,
"crystal, structure","cristal, estructura ","Github, Github",,
case,estudiar el terreno,Github,,
"base, metal, Au","base, metal, Au","Github, Github, None",,Au
"pretreatment, process","pretreatment, proceso","None, Github",,pretreatment
metal,metal,Github,,
"low, grade","low, calidad","None, Github",,low
"Au, extraction","Au, extraction","None, None",,"Au, extraction"
"1711, CRL, spodoptera, frugiperda","1711, CRL, frugiperda","None, None, None",,"1711, CRL, frugiperda"
serum,suero,Github,,
line,línea ,Github,,
"fetal, calf, serum","fetal, cría , suero","Github, Github, Github",,
"10, optional, fetal, calf, serum","10, opcional , fetal, cría , suero","None, Github, Github, Github, Github",,10
"stable, transf","establo , transf","Github, None",,transf
"cell, line, sf9","célula, línea , sf9","Github, Github, None",,sf9
sterol,esterol,Mexican Laws,,
yeastolate,yeastolate,None,,yeastolate
"fetal, calf","fetal, cría ","Github, Github",,
"sterol, cocktail","esterol, coctel ","Mexican Laws, Github",,
cocktail,coctel ,Github,,
cell,célula,Github,,
utility,conveniencia ,Github,,
"gene, expression","gen, expresión","Github, Github",,
expression,expresión,Github,,
gene,gen,Github,,
time,cronometrar,Github,,
"GFP, great, feature","GFP, bien, aparecer","None, Github, Github",,GFP
"single, cell, level","sencillo , célula, nivel ","Github, Github, Github",,
feature,aparecer,Github,,
"single, cell","sencillo , célula","Github, Github",,
variable,variable ,Github,,
"normally, distribute, continuous, variable","normalmente, distribuir, continuo, variable ","Github, Github, Github, Github",,
"t, test","t, examinar","None, Github",,t
regression,fijación,Github,regression->fixation,
result,resultar,Github,,
"frictional, frictionless",,,,
"fig, load, 30, solid","higuera , cargar, 30, sólido","Github, Github, None, Github",,30
phase,phase,None,,phase
rate,rate,None,,rate
"approx, pyrite, oxidation, lag, phase","approx, pirita , oxidación, mientras tanto, phase","None, Github, Github, Github, None",lag->meanwhile,"approx, phase"
day,día,Github,,
bioreactor,bioreactor,None,,bioreactor
pyrite,pirita ,Github,,
ore,mena,Github,,
"frictionless, frictional, bioreactor",bioreactor,None,,bioreactor
"immobilized, ore, bioreact","inmovilizar, mena, bioreact","Github, Github, None",immobilized->immobilize,bioreact
"approx, pyrite, oxidation","approx, pirita , oxidación","None, Github, Github",,approx
"pyrite, oxidation","pirita , oxidación","Github, Github",,
frictionless,,,,
"dissolution, rate","licenciosidad, rate","Github, None",dissolution->licentiousness,rate
"fig, v, pyrite","higuera , v, pirita ","Github, Chemical Element, Github",,
dissolution,licenciosidad,Github,dissolution->licentiousness,
oxidation,oxidación,Github,,
lag,mientras tanto,Github,lag->meanwhile,
"v, pyrite","v, pirita ","Chemical Element, Github",,
cyanotoxin,cyanotoxin,None,,cyanotoxin
potential,voltaje ,Github,potential->voltage,
"risk, assessment","arriesgar, evaluación ","Github, Github",,
detection,detección ,Github,,
"tumor, promotion","tumor , promoción ","Github, Github",,
"particular, toxicological, importance","específico, toxicológico, importancia","Github, Github, Github",particular->specific,
importance,importancia,Github,,
"detection, method","detección , method","Github, Github",,
nome,,,,
assessment,evaluación ,Github,,
"tumor, promotion, potential","tumor , promoción , voltaje ","Github, Github, Github",potential->voltage,
"tumor, promotion, potential, hepatotoxicity","tumor , promoción , voltaje , hepatotoxicity","Github, Github, Github, None",potential->voltage,hepatotoxicity
"1996, rinehardt, namikoshi, bioactivity","1996, rinehardt, namikoshi, bioactivity","None, None, None, None",,"1996, rinehardt, namikoshi, bioactivity"
bioactivity,bioactivity,None,,bioactivity
peptide,péptido,Github,,
"mcyst, numerous, peptide","mcyst, numeroso , péptido","None, Github, Github",,mcyst
"heterologous, expression",expresión,Github,,
"excellent, product, formation, property","excelente, producto , constitución , propiedad ","Github, Github, Github, Github",formation->constitution,
microorganism,microorganismo,Github,,
conversion,conversión ,Github,,
property,propiedad ,Github,,
organism,organismo ,Github,,
"such, advance","tan, adelanto ","Github, Github",,
"3-D, structure","3-D, estructura ","None, Github",,3-D
"UV, measurement, base, kinetic, experiment","UV, medida, base, cinético, experimentar","None, Github, Github, Github, Github",,UV
docking,nalgas ,Github,docking->tail,
"computational, docking","computazionale, nalgas ","Github, Github",docking->tail,
ligand,ligando,Mexican Laws,,
"ligand, computational, docking","ligando, computazionale, nalgas ","Mexican Laws, Github, Github",docking->tail,
"active, site, dimension","vivo, solar , dimensión ","Github, Github, Github",active->alive,
"1C4, conformation","1C4, configuraciones moleculares","None, Mexican Laws",,1C4
dimension,dimensión ,Github,,
selectivity,,,,
interaction,interacción ,Github,,
model,modelo,Github,,
conformation,configuraciones moleculares,Mexican Laws,,
mannopyranose,mannopyranose,None,,mannopyranose
"D, glucopyranosyl","D, glucopyranosyl","None, None",,"D, glucopyranosyl"
substrate,,,,
site,solar ,Github,,
glucopyranosyl,glucopyranosyl,None,,glucopyranosyl
"dock, structure","pilar , estructura ","Github, Github",dock->pier,
structure,estructura ,Github,,
"interaction, energetic","interacción , enérgico","Github, Github",,
retreat,retirarse,Github,,
escape,escaparse,Github,,
speed,rapidez ,Github,,
superhighway,super-autopista,Github,,
technology,tecnología ,Github,,
cable,cable,None,,cable
optic,ojo ,Github,optic->eye,
"fibre, optic","fibra , ojo ","Github, Github",optic->eye,
identification,designación ,Github,identification->designation,
crystal,cristal,Github,,
position,posición ,Github,,
"optimal, position","óptimo, posición ","Github, Github",,
acid,ácido,Github,,
"acid, proton, donor","ácido, protón, dador","Github, Github, Github",,
pretreatment,pretreatment,None,,pretreatment
"pretreated, substrate, belo","pretreated, belo","None, None",,"pretreated, belo"
"pretreated, substrate",pretreated,None,,pretreated
belo,belo,None,,belo
hydrolysis,hidrólisis,Github,,
"595, 191, fungal, cellulas","595, 191, cellulas","None, None, None",,"595, 191, cellulas"
cellulose,celulosa,Github,,
"additional, reference","adicional, reference","Github, None",,reference
"hydrolysis, enhance, effective, pretreatment","hidrólisis, aumentar, eficiente, pretreatment","Github, Github, Github, None",effective->efficient,pretreatment
cellulas,cellulas,None,,cellulas
"heterogeneous, composition, reaction, recalcitrance","heterogéneo, composición , reacción de Refor­matskii","Github, Github, Github",,
"distinguishing, feature","distinguir, aparecer","Github, Github",distinguishing->distinguish,
processing,proceso,Github,processing->process,
reaction,reacción de Refor­matskii,Github,,
"large, scale","grande, costra de óxido balanza escala","Github, Github",,
distinguishing,distinguir,Github,distinguishing->distinguish,
reporter,reportero ,Github,,
"transcriptional, reporter, GFP, great, feature","transcriptional, reportero , GFP, bien, aparecer","None, Github, None, Github, Github",,"transcriptional, GFP"
"transcriptional, reporter","transcriptional, reportero ","None, Github",,transcriptional
"single, cell, level, live, cell","sencillo , célula, nivel , vivir, célula","Github, Github, Github, Github, Github",,
"real, time","real, cronometrar","None, Github",,real
"leader, peptide","líder , péptido","Github, Github",,
nucleotide,nucleótido,Github,,
"two, different, baculovirus, transfer, vector","dos, diferente, baculovirus, transferir, vector","Github, Github, None, Github, Github",,baculovirus
"nucleotide, seque","nucleótido, seque","Github, None",,seque
gene,gen,Github,,
pbac4x-1,pbac4x-1,None,,pbac4x-1
leader,líder ,Github,,
"different, baculovirus, transfer","diferente, baculovirus, transferir","Github, None, Github",,baculovirus
"leader, peptide, hucol-1, v, region","líder , péptido, hucol-1, v, región ","Github, Github, None, Chemical Element, Github",,hucol-1
"WI, madison, novagen, FIGURE","WI, novagen, FIGURE","None, None, None",,"WI, novagen, FIGURE"
seque,seque,None,,seque
region,región ,Github,,
plate,chapar,Github,,
Anti-hum,Anti-hum,None,,Anti-hum
microtiter,microtiter,None,,microtiter
elisa,,,,
"96-well, polyvinyl, microtiter, plate","96-well, polyvinyl, microtiter, chapar","None, None, None, Github",,"96-well, polyvinyl, microtiter"
polyvinyl,polyvinyl,None,,polyvinyl
"polyvinyl, microtiter, plate","polyvinyl, microtiter, chapar","None, None, Github",,"polyvinyl, microtiter"
"approximately, cm","aproximadamente, cm","Github, Chemical Element",,
chunk,trozo ,Github,,
pyrite,pirita ,Github,,
crushing,sofocante,Github,crushing->stifling,
"approximately, cm, chunk","aproximadamente, cm, trozo ","Github, Chemical Element, Github",,
"pestle, mortar","pilón , mortero","Github, Github",,
"initial, crushing","inicial, sofocante","Github, Github",crushing->stifling,
"large, chunk","grande, trozo ","Github, Github",,
sample,samplear,Github,,
mortar,mortero,Github,,
"pyrite, sample","pirita , samplear","Github, Github",,
"work, volume","trabajar, volumen ","Github, Github",,
"ore, reactor","mena, reactor ","Github, Github",,
vessel,embarcación ,Github,,
reactor,reactor ,Github,,
volume,volumen ,Github,,
"35, cm, 351, SHEARING","35, cm, 351, SHEARING","None, Chemical Element, None, None",,"35, 351, SHEARING"
ml.,ml.,None,,ml.
cyanobacteria,,,,
pepti,pepti,None,,pepti
"amount, cellulose, utilization, hydrolysis","amount, celulosa, utilization, hidrólisis","None, Github, None, Github",,"amount, utilization"
"crayfish, termite, include, animal, specie","cangrejo de río , termes , incluir, animal ","Github, Github, Github, Github",,
"usable, energy",", energía","Github, Github",usable->useable,
"utilization, hydrolysis","utilization, hidrólisis","None, Github",,utilization
energy,energía,Github,,
specie,,,,
cellulose,celulosa,Github,,
microorganism,microorganismo,Github,,
"crayfish, termite","cangrejo de río , termes ","Github, Github",,
"cellulose, utilization, hydrolysis","celulosa, utilization, hidrólisis","Github, None, Github",,utilization
utilization,utilization,None,,utilization
organism,organismo ,Github,,
information,información ,Github,,
carcinoma,,,,
test,examinar,Github,,
"logistic, regression",fijación,Github,regression->fixation,
"v2, test","v2, examinar","None, Github",,v2
"student, t, test","estudiante , t, examinar","Github, None, Github",,t
"diarrhoea, household, prevalence","diarrea , familia ","Github, Github",diarrhoea->diarrhea,
"reporting, rate","cobertura , rate","Github, None",reporting->coverage,rate
rate,rate,None,,rate
"considerable, discrepancy","considerable, variante ","Github, Github",discrepancy->variant,
"reported, prevalence",notificar,Github,reported->report,
"diarrhoea, household, prevalence, term","diarrea , familia , término ","Github, Github, Github",diarrhoea->diarrhea,
diarrhoea,diarrea ,Github,diarrhoea->diarrhea,
term,término ,Github,,
country,campo ,Github,,
"low, reporting, rate","low, cobertura , rate","None, Github, None",reporting->coverage,"low, rate"
prevalence,,,,
"household, prevalence",familia ,Github,,
"ore, bioreact","mena, bioreact","Github, None",,bioreact
fibre,fibra ,Github,,
"fibre, optic, cable","fibra , ojo , cable","Github, Github, None",optic->eye,cable
"earth, end","tierra, acabar","Github, Github",,
"high, speed","alto, rapidez ","Github, Github",,
"technology, escape","tecnología , escaparse","Github, Github",,
"electronic, superhighway","electrónico, super-autopista","Github, Github",,
"high, speed, fibre, optic, cable","alto, rapidez , fibra , ojo , cable","Github, Github, Github, Github, None",optic->eye,cable
end,acabar,Github,,
"carbohydrate, binding, module","hidrato de carbono, esconder, facultad ","Github, Github, Github","binding->cover, module->faculty",
"cellulase, enzyme","cellulase, enzima","None, Github",,cellulase
module,facultad ,Github,module->faculty,
"cellulase, system","cellulase, sistema ","None, Github",,cellulase
complex,complex,None,,complex
"cellulase, system, com","cellulase, sistema , com","None, Github, None",,"cellulase, com"
"noncovalent, interactive, force","noncovalent, interactivo, forzar","None, Github, Github",,noncovalent
catalysis,catálisis,Github,,
"mathematical, product","matemático , producto ","Github, Github",,
rate,rate,None,,rate
"enzyme, substrate, complex, concentration","enzima, complex, concentración","Github, None, Github",,complex
"proportionality, factor","proporción , factor","Github, Github",proportionality->proportion,
understanding,comprensión ,Github,,
"mark, advance","marcos, adelanto ","Github, Github",,
"cellulase, system, component","cellulase, sistema , componente","None, Github, Github",,cellulase
structure,estructura ,Github,,
advance,adelanto ,Github,,
cellulase,cellulase,None,,cellulase
depth,profundidad ,Github,,
"scientific, understanding","científico, comprensión ","Github, Github",,
"cellulosic, biomass, important, distinguishing, feature","biomasa, importante, distinguir, aparecer","Mexican Laws, Github, Github, Github",distinguishing->distinguish,
"purchase, price","comprar, precio ","Github, Github",,
purchase,comprar,Github,,
"important, distinguishing, feature","importante, distinguir, aparecer","Github, Github, Github",distinguishing->distinguish,
composition,composición ,Github,,
"cm, diameter","cm, diámetro ","Chemical Element, Github",,
"10, cm, diameter, dish","10, cm, diámetro , vajilla ","None, Chemical Element, Github, Github",,10
coprecipitation,coprecipitation,None,,coprecipitation
line,línea ,Github,,
cell,célula,Github,,
generation,generación ,Github,,
microglobulin,microglobulin,None,,microglobulin
"MCF-7, transform, cell, line","MCF-7, trasformar, célula, línea ","None, Github, Github, Github",,MCF-7
tumor,tumor ,Github,,
"cell, line","célula, línea ","Github, Github",,
"epithelial, MCF-7, transform, cell, line","epitelial, MCF-7, trasformar, célula, línea ","Github, None, Github, Github, Github",,MCF-7
"high, cell","alto, célula","Github, Github",,
"human, 2-, microglobulin","humano , 2-, microglobulin","Github, None, None",,"2-, microglobulin"
"l, cell","l, célula","None, Github",,l
"yeast, human, mannosidase, crystal, structure","levadura, humano , mannosidase, cristal, estructura ","Github, Github, None, Github, Github",,mannosidase
"yeast, human, mannosidase","levadura, humano , mannosidase","Github, Github, None",,mannosidase
"W195, W54, optimal, position","W195, W54, óptimo, posición ","None, None, Github, Github",,"W195, W54"
docking,nalgas ,Github,docking->tail,
yeast,levadura,Github,,
"base, catalytic, acid, proton, donor","base, catalítico, ácido, protón, dador","Github, Github, Github, Github, Github",,
ore,mena,Github,,
diameter,diámetro ,Github,,
"4.5, cm","4.5, cm","None, Chemical Element",,4.5
"phdependentmembrane, fusion","phdependentmembrane, fusión","None, Github",,phdependentmembrane
"insect, cell, viral, entry","insecto , célula, elemento ","Github, Github, Github",,
gp64,gp64,None,,gp64
entry,elemento ,Github,,
"host, cell","alojar, célula","Github, Github",,
cell,célula,Github,,
protein,proteína,Github,,
virus,virus,Github,,
glycoprotein,glicoproteina,Mexican Laws,,
envelope,sobre ,Github,,
level,nivel ,Github,,
cha,cha,None,,cha
"essential, tool","esencial, herramienta ","Github, Github",,
investigation,investigación ,Github,,
"bacterial, cytoplasm, idea","bacteriano, citoplasma, idea ","Github, Github, Github",,
"enzyme, bag, bacterial, cytoplasm, idea","enzima, bag, bacteriano, citoplasma, idea ","Github, None, Github, Github, Github",,bag
tool,herramienta ,Github,,
idea,idea ,Github,,
enzyme,enzima,Github,,
bag,bag,None,,bag
"investigation, essential, tool","investigación , esencial, herramienta ","Github, Github, Github",,
organization,organización ,Github,,
"past, year","pasado , año ","Github, Github",,
approx,approx,None,,approx
"pyrite, dissolution, rate","pirita , licenciosidad, rate","Github, Github, None",dissolution->licentiousness,rate
"lag, phase","mientras tanto, phase","Github, None",lag->meanwhile,phase
bioreact,bioreact,None,,bioreact
"a, k, general, formula","a, k, general , fórmula ","None, Chemical Element, Github, Github",,a
SHEARING,SHEARING,None,,SHEARING
sulfate,sulfatar,Github,,
"high, ph., microbial, Fe, oxidation","alto, ph., microbiano, Fe, oxidación","Github, None, Github, None, Github",,"ph., Fe"
H3O,H3O,None,,H3O
"basic, Fe, sulfate","básico, Fe, sulfatar","Github, None, Github",,Fe
color,colorar,Github,,
ph.,ph.,None,,ph.
"355, SHEARING","355, SHEARING","None, None",,"355, SHEARING"
formula,fórmula ,Github,,
"general, formula","general , fórmula ","Github, Github",,
oxidation,oxidación,Github,,
"microbial, Fe, oxidation","microbiano, Fe, oxidación","Github, None, Github",,Fe
"Fe, sulfate","Fe, sulfatar","None, Github",,Fe
"Fe, oxidation","Fe, oxidación","None, Github",,Fe
"numerous, peptide","numeroso , péptido","Github, Github",,
"chromatographic, technique, combination, sample, preparation","técnica , combinación, samplear, preparación ","Github, Github, Github, Github",,
way,camino ,Github,,
combination,combinación,Github,,
line,línea ,Github,,
sample,samplear,Github,,
"way, in, disadvantage","camino , in, desventaja ","Github, Chemical Element, Github",,
interface,interfase,Github,,
technique,técnica ,Github,,
preparation,preparación ,Github,,
disadvantage,desventaja ,Github,,
"chromatographic, technique, combination","técnica , combinación","Github, Github",,
"sample, preparation","samplear, preparación ","Github, Github",,
"line, technique","línea , técnica ","Github, Github",,
"HPLC, MALDI, interface","HPLC, MALDI, interfase","None, None, Github",,"HPLC, MALDI"
"chromatographic, technique",técnica ,Github,,
engineering,sala de máquinas ,Github,,
protein,proteína,Github,,
"clinical, trial","clínico , tribulación ","Github, Github",,
breadth,breadth,None,,breadth
"cellulase, system, component, associate, genetic","cellulase, sistema , componente, relacionar, genético","None, Github, Github, Github, Github",,cellulase
decade,década ,Github,,
"scientific, understanding, breadth, depth","científico, comprensión , breadth, profundidad ","Github, Github, None, Github",,breadth
genetic,genético,Github,,
"conformer, substrate",conformer,None,,conformer
"conformer, substrate, selectivity",conformer,None,,conformer
"interaction, energetic, compare, 1C4, conformation","interacción , enérgico, comparar, 1C4, configuraciones moleculares","Github, Github, Github, None, Mexican Laws",,1C4
"active, site","vivo, solar ","Github, Github",active->alive,
"conformer, substrate, selectivity, model","conformer, modelo","None, Github",,conformer
conformer,conformer,None,,conformer
energetic,enérgico,Github,,
"because, active, site, enzyme","porque, vivo, solar , enzima","Github, Github, Github, Github",active->alive,
"KIF, DMJ","KIF, DMJ","None, None",,"KIF, DMJ"
enzyme,enzima,Github,,
"docking, procedure","nalgas , procedimiento ","Github, Github",docking->tail,
"crystal, structure","cristal, estructura ","Github, Github",,
crystal,cristal,Github,,
"observed, structure, agreement","detectar, estructura , acuerdo ","Github, Github, Github",observed->detect,
step,caminar,Github,,
institution,institución ,Github,,
researcher,investigador,Github,,
"basic, researcher","básico, investigador","Github, Github",,
"institution, individual, subscriber","institución , individuo, lector ","Github, Github, Github",subscriber->reader,
"molecular, biology, biochemistry, field","molecular, biología , bioquimica, campo ","Github, Github, Github, Github",,
biochemistry,bioquimica,Github,,
reader,lector ,Github,,
"molecular, biology, biochemistry","molecular, biología , bioquimica","Github, Github, Github",,
contributor,,,,
subscriber,lector ,Github,subscriber->reader,
individual,individuo,Github,,
publication,publicación ,Github,,
"pharmaceutical, medi, business, day","medi, asunto , día","None, Github, Github",,medi
website,solar ,Github,website->site,
day,día,Github,,
business,asunto ,Github,,
structure,estructura ,Github,,
donor,dador,Github,,
nucleophile,nucleófilo,Mexican Laws,,
"catalytic, acid, proton, donor","catalítico, ácido, protón, dador","Github, Github, Github, Github",,
"microbial, physiology, thought","microbiano, fisiología , pensamiento ","Github, Github, Github",,
body,cuerpo,Github,,
"molecular, technique","molecular, técnica ","Github, Github",,
thought,pensamiento ,Github,,
rate,rate,None,,rate
"substrate, utilization",utilization,None,,utilization
technique,técnica ,Github,,
"substrate, utilization, cell, growth, rate","utilization, célula, crecimiento, rate","None, Github, Github, None",,"utilization, rate"
"overall, stoichiometry","braga , estequiometría","Github, Github",,
"central, body","central, cuerpo","Github, Github",,
price,precio ,Github,,
"potential, feedstock","voltaje , materia prima de alimentación","Github, Mexican Laws",potential->voltage,
"cellulose, theoretical, 20, hydrolysis, yield","celulosa, teórico, 20, hidrólisis, arrojar","Github, Github, None, Github, Github",,20
enzyme,enzima,Github,,
culture,cultura ,Github,,
presence,presencia ,Github,,
"pure, culture","puro , cultura ","Github, Github",,
microorganism,microorganismo,Github,,
cytoplasm,citoplasma,Github,,
study,estudiar,Github,,
fragment,fragmentar,Github,,
"100, ng","100, ng","None, None",,"100, ng"
goat,cabra ,Github,,
"polyvinyl, microtiter","polyvinyl, microtiter","None, None",,"polyvinyl, microtiter"
"derive, recombinant, abs, mcol-1","derivar, abdominal, mcol-1","Github, Github, None",abs->abdominal,mcol-1
"serial, dilution",serie ,Github,serial->series,
"PBS, BSA, prepare, mcol-1","PBS, BSA, preparar, mcol-1","None, None, Github, None",,"PBS, BSA, mcol-1"
microliter,microliter,None,,microliter
microt,microt,None,,microt
"twenty, microliter","veinte, microliter","Github, None",,microliter
"abs, serial, dilution, twenty, microliter","abdominal, serie , veinte, microliter","Github, Github, Github, None","abs->abdominal, serial->series",microliter
dilution,,,,
"abs, serial, dilution","abdominal, serie ","Github, Github","abs->abdominal, serial->series",
competition,competición ,Github,,
mcol-1,mcol-1,None,,mcol-1
reactivity,,,,
flow,fluir,Github,,
"500, ml.","500, ml.","None, None",,"500, ml."
SHEARING,SHEARING,None,,SHEARING
PARTICLEPARTICLE,PARTICLEPARTICLE,None,,PARTICLEPARTICLE
"glass, vessel","vidrio, embarcación ","Github, Github",,
"CHONG, ET, AL, height","CHONG, ET, AL, altura","None, None, None, Github",,"CHONG, ET, AL"
"35, cm","35, cm","None, Chemical Element",,35
semicyli,semicyli,None,,semicyli
"immobilized, ore, reactor","inmovilizar, mena, reactor ","Github, Github, Github",immobilized->immobilize,
"cylindrically, shape, glass, vessel","cylindrically, forma , vidrio, embarcación ","None, Github, Github, Github",,cylindrically
"4.5, cm, diameter","4.5, cm, diámetro ","None, Chemical Element, Github",,4.5
"PARTICLEPARTICLE, 35, cm, 351, SHEARING","PARTICLEPARTICLE, 35, cm, 351, SHEARING","None, None, Chemical Element, None, None",,"PARTICLEPARTICLE, 35, 351, SHEARING"
glass,vidrio,Github,,
height,altura,Github,,
cylinder,cilindro ,Github,,
"work, volume","trabajar, volumen ","Github, Github",,
vessel,embarcación ,Github,,
"vertical, stainle","vertical, stainle","Github, None",,stainle
"flat, vessel","flat, embarcación ","None, Github",,flat
"10, cm, inner, diameter","10, cm, interior , diámetro ","None, Chemical Element, Github, Github",inner->interior,10
patient,paciente,Github,,
"wide, range","ancho, rango ","Github, Github",,
"clinical, trial, animal","clínico , tribulación , animal ","Github, Github, Github",,
"preclinical, study",estudiar,Github,,
"immuno, problem","immuno, problema ","None, Github",,immuno
tumor,tumor ,Github,,
problem,problema ,Github,,
"clinical, trial, animal, preclinical, study","clínico , tribulación , animal , estudiar","Github, Github, Github, Github",,
trial,tribulación ,Github,,
immuno,immuno,None,,immuno
"tumor, localization","tumor , localización","Github, Github",,
"human, carcinoma",humano ,Github,,
reporting,cobertura ,Github,reporting->coverage,
"diarrhoea, reported, prevalence","diarrea , notificar","Github, Github","diarrhoea->diarrhea, reported->report",
household,familia ,Github,,
"diarrhoea, household, prevalence, term, country","diarrea , familia , término , campo ","Github, Github, Github, Github",diarrhoea->diarrhea,
discrepancy,variante ,Github,discrepancy->variant,
"ce, figure","ce, ocurrírsele","Chemical Element, Github",,
fig,higuera ,Github,,
"diarrhoea, household, prevalence","diarrea , familia ","Github, Github",diarrhoea->diarrhea,
VIP,VIP,None,,VIP
pit,deshuesar,Github,,
"country, diarrhoea, household, prevalence","campo , diarrea , familia ","Github, Github, Github",diarrhoea->diarrhea,
science,ciencia ,Github,,
diarrhoea,diarrea ,Github,diarrhoea->diarrhea,
figure,ocurrírsele,Github,,
"VIP, pit","VIP, deshuesar","None, Github",,VIP
prevalence,,,,
"household, prevalence",familia ,Github,,
"1997, p","1997, p","None, Chemical Element",,1997
household,familia ,Github,,
"fig, latrine, VIP, pit","higuera , letrina , VIP, deshuesar","Github, Github, None, Github",,VIP
"governmental, agency","gubernamental, oficina ","Github, Github",,
"ASBMB, website","ASBMB, solar ","None, Github",website->site,ASBMB
ASBMB,ASBMB,None,,ASBMB
fee,honorario ,Github,,
"enzyme, substrate, complex","enzima, complex","Github, None",,complex
product,producto ,Github,,
model,modelo,Github,,
"enzymatic, catalysis, rate","catálisis, rate","Github, None",,rate
"substrate, complex",complex,None,,complex
complex,complex,None,,complex
factor,factor,Github,,
"enzymatic, catalysis",catálisis,Github,,
cellulose,celulosa,Github,,
"cellulose, rc","celulosa, rc","Github, None",,rc
function,fungir,Github,,
"breadth, depth","breadth, profundidad ","None, Github",,breadth
"cellulase, system","cellulase, sistema ","None, Github",,cellulase
component,componente,Github,,
system,sistema ,Github,,
respect,respetar,Github,,
"primary, saving","primary, economía ","None, Github",saving->economy,primary
configuration,configuración,Github,,
"process, configuration","proceso, configuración","Github, Github",,
fea,fea,None,,fea
"CBP, cost, effective, implementation","CBP, costar, eficiente, implementación ","None, Github, Github, Github",effective->efficient,CBP
property,propiedad ,Github,,
cost,costar,Github,,
factor,factor,Github,,
development,desarrollo ,Github,,
"cellulosic, material",material,Github,,
result,resultar,Github,,
"hydrolysis, yield","hidrólisis, arrojar","Github, Github",,
cellulosic,,,,
"human, serum","humano , suero","Github, Github",,
donor,dador,Github,,
"50, g, ml, hr, mitomycin","50, g, ml, hr","None, None, None, None",,"50, g, ml, hr"
serum,suero,Github,,
mitomycin,,,,
"RPMI, 24-well, plate","RPMI, 24-well, chapar","None, None, Github",,"RPMI, 24-well"
"hr, mitomycin",hr,None,,hr
blood,sangre,Github,,
pool,reunir,Github,,
"1.5, 105, cell","1.5, 105, célula","None, None, Github",,"1.5, 105"
"10, human, serum","10, humano , suero","None, Github, Github",,10
"blood, group, donor","sangre, grupo, dador","Github, Github, Github",,
"edward, C., cox4","eduardo, C., cox4","Github, None, None",,"C., cox4"
cell,célula,Github,,
"replication, factor","reproducción , factor","Github, Github",replication->reproduction,
"cell, nuclear, antigen","célula, nuclear , antígeno ","Github, Github, Github",,
"pyrococcus, furiosus","pyrococcus, furiosus","None, None",,"pyrococcus, furiosus"
antigen,antígeno ,Github,,
"nuclear, antigen","nuclear , antígeno ","Github, Github",,
interaction,interacción ,Github,,
furiosus,furiosus,None,,furiosus
"physical, interaction","revisación , interacción ","Github, Github",,
factor,factor,Github,,
"proliferate, cell, nuclear, antigen","proliferar, célula, nuclear , antígeno ","Github, Github, Github, Github",,
replication,reproducción ,Github,replication->reproduction,
motif,motivo ,Github,,
"RFCL, PIP, box, sequence","RFCL, PIP, encajonar, secuencia ","None, None, Github, Github",,"RFCL, PIP"
bioreactor,bioreactor,None,,bioreactor
"nuclear, polyhedrosis","nuclear , polyhedrosis","Github, None",,polyhedrosis
polyhedrosis,polyhedrosis,None,,polyhedrosis
fusion,fusión,Github,,
"viral, entry",elemento ,Github,,
insect,insecto ,Github,,
surface,superficie ,Github,,
"restriction, enzyme","restricción , enzima","Github, Github",,
"modify, enzyme","modificar, enzima","Github, Github",,
procedure,procedimiento ,Github,,
enzyme,enzima,Github,,
"clone, procedure","clonar, procedimiento ","Github, Github",,
"modify, enzyme, restriction, enzyme","modificar, enzima, restricción , enzima","Github, Github, Github, Github",,
restriction,restricción ,Github,,
"temporal, spatial, organization","temporal , espacial, organización ","Github, Github, Github",,
year,año ,Github,,
"bacterial, cytoplasm","bacteriano, citoplasma","Github, Github",,
"cellular, process","celular, proceso","Github, Github",,
process,proceso,Github,,
"enzyme, bag","enzima, bag","Github, None",,bag
"cellular, process, temporal, spatial, organization","celular, proceso, temporal , espacial, organización ","Github, Github, Github, Github, Github",,
"cell, division","célula, división ","Github, Github",,
"bacterial, cel","bacteriano, cel","Github, None",,cel
"remarkable, study","notable, estudiar","Github, Github",,
"bacterial, cel, long, axis","bacteriano, cel, desear, axis ","Github, None, Github, Github",,cel
"bacterial, cell, division","bacteriano, célula, división ","Github, Github, Github",,
"z, ring","z, llamar por teléfono","None, Github",,z
division,división ,Github,,
country,campo ,Github,,
"329, nature","329, naturaleza ","None, Github",,329
PARTICLEPARTICLE,PARTICLEPARTICLE,None,,PARTICLEPARTICLE
"PARTICLEPARTICLE, 355, SHEARING","PARTICLEPARTICLE, 355, SHEARING","None, None, None",,"PARTICLEPARTICLE, 355, SHEARING"
"high, ph.","alto, ph.","Github, None",,ph.
engineering,sala de máquinas ,Github,,
slurry,mezcla,Mexican Laws,,
"bio, slurry, immobilized, ore, advantage","bio, mezcla, inmovilizar, mena, ventaja ","None, Mexican Laws, Github, Github, Github",immobilized->immobilize,bio
"engineering, point","sala de máquinas , indicar","Github, Github",,
